*********************[2016-04-20 1:18:19:565 | 0 ] Status: Start Running*********************
[2016-04-20 1:18:19:569 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:19:572 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:19:576 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:19:584 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:19:787 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:21:817 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:21:819 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:21:822 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:22:421 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:23:525 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:23:528 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:23:572 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:24:364 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:24:367 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:24:370 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:24:377 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:25:466 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:25:468 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:25:474 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:26:69 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:27:671 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:27:673 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:27:719 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:28:259 | 0 ] Find leader (3) crash
[2016-04-20 1:18:28:260 | 0 ] Algorithm: send Elect 0 to 1
[2016-04-20 1:18:28:260 | 0 ] Algorithm: send Elect 0 to 2
[2016-04-20 1:18:28:261 | 0 ] Algorithm: send Elect 0 to 3
[2016-04-20 1:18:28:261 | 0 ] Internal: Received OKAY from 2
[2016-04-20 1:18:28:261 | 0 ] Election Error: Crash Error 3
[2016-04-20 1:18:28:261 | 0 ] Algorithm: send Elect 0 to 4
[2016-04-20 1:18:28:262 | 0 ] Algorithm: send Elect 0 to 5
[2016-04-20 1:18:28:262 | 0 ] Algorithm: send Elect 0 to 6
[2016-04-20 1:18:28:263 | 0 ] Algorithm: send Elect 0 to 7
[2016-04-20 1:18:28:263 | 0 ] Internal: Received OKAY from 5
[2016-04-20 1:18:28:264 | 0 ] Internal: Received OKAY from 6
[2016-04-20 1:18:28:264 | 0 ] Internal: Received OKAY from 6
[2016-04-20 1:18:28:264 | 0 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:28:264 | 0 ] Internal: Received OKAY from 7
[2016-04-20 1:18:28:264 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:283 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:285 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:287 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:291 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:296 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:299 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:302 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:627 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:630 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:634 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:28:966 | 0 ] Election Error: Fail to receive OKAY from 1 within timeout(700 ms)
[2016-04-20 1:18:28:966 | 0 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:28:966 | 0 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:29:121 | 0 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:29:228 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:30:558 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:30:561 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:30:609 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:31:957 | 0 ] Find leader (3) crash
[2016-04-20 1:18:31:958 | 0 ] Algorithm: send Elect 0 to 1
[2016-04-20 1:18:31:958 | 0 ] Algorithm: send Elect 0 to 2
[2016-04-20 1:18:31:958 | 0 ] Algorithm: send Elect 0 to 3
[2016-04-20 1:18:31:959 | 0 ] Election Error: Crash Error 3
[2016-04-20 1:18:31:959 | 0 ] Algorithm: send Elect 0 to 4
[2016-04-20 1:18:31:959 | 0 ] Internal: Received OKAY from 2
[2016-04-20 1:18:31:959 | 0 ] Algorithm: send Elect 0 to 5
[2016-04-20 1:18:31:960 | 0 ] Algorithm: send Elect 0 to 6
[2016-04-20 1:18:31:960 | 0 ] Algorithm: send Elect 0 to 7
[2016-04-20 1:18:31:961 | 0 ] Internal: Received OKAY from 5
[2016-04-20 1:18:31:961 | 0 ] Internal: Received OKAY from 6
[2016-04-20 1:18:31:961 | 0 ] Internal: Received OKAY from 6
[2016-04-20 1:18:31:962 | 0 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:31:962 | 0 ] Internal: Received OKAY from 7
[2016-04-20 1:18:31:962 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:967 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:969 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:972 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:976 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:978 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:980 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:31:982 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:220 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:223 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:226 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:606 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:609 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:656 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:32:664 | 0 ] Election Error: Fail to receive OKAY from 1 within timeout(700 ms)
[2016-04-20 1:18:32:664 | 0 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:32:664 | 0 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:32:689 | 0 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:32:819 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:32:838 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:843 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:846 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:32:848 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:120 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:124 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:127 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:252 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:257 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:301 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:37:701 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:705 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:708 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:711 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:37:724 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:39:606 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:39:609 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:39:610 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:40:208 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:40:540 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:40:542 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:40:545 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:40:548 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:40:958 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:40:962 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:06 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:41:447 | 0 ] Find leader (3) crash
[2016-04-20 1:18:41:447 | 0 ] Algorithm: send Elect 0 to 1
[2016-04-20 1:18:41:448 | 0 ] Algorithm: send Elect 0 to 2
[2016-04-20 1:18:41:448 | 0 ] Algorithm: send Elect 0 to 3
[2016-04-20 1:18:41:448 | 0 ] Election Error: Crash Error 3
[2016-04-20 1:18:41:449 | 0 ] Algorithm: send Elect 0 to 4
[2016-04-20 1:18:41:449 | 0 ] Internal: Received OKAY from 2
[2016-04-20 1:18:41:449 | 0 ] Algorithm: send Elect 0 to 5
[2016-04-20 1:18:41:449 | 0 ] Algorithm: send Elect 0 to 6
[2016-04-20 1:18:41:450 | 0 ] Algorithm: send Elect 0 to 7
[2016-04-20 1:18:41:450 | 0 ] Internal: Received OKAY from 5
[2016-04-20 1:18:41:450 | 0 ] Internal: Waiting for response
[2016-04-20 1:18:41:450 | 0 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:41:451 | 0 ] Internal: Received OKAY from 6
[2016-04-20 1:18:41:451 | 0 ] Internal: Received OKAY from 7
[2016-04-20 1:18:41:452 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:456 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:458 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:461 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:463 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:465 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:467 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:41:475 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:42:153 | 0 ] Election Error: Fail to receive OKAY from 1 within timeout(700 ms)
[2016-04-20 1:18:42:153 | 0 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:42:153 | 0 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:42:713 | 0 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:43:672 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:43:675 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:43:677 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:44:272 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:44:967 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:44:970 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:45:18 | 0 ] Internal: Received Result from 3
[2016-04-20 1:18:45:157 | 0 ] Find leader (3) crash
[2016-04-20 1:18:45:158 | 0 ] Algorithm: send Elect 0 to 1
[2016-04-20 1:18:45:158 | 0 ] Algorithm: send Elect 0 to 2
[2016-04-20 1:18:45:158 | 0 ] Algorithm: send Elect 0 to 3
[2016-04-20 1:18:45:159 | 0 ] Election Error: Crash Error 3
[2016-04-20 1:18:45:159 | 0 ] Algorithm: send Elect 0 to 4
[2016-04-20 1:18:45:159 | 0 ] Internal: Received OKAY from 2
[2016-04-20 1:18:45:159 | 0 ] Algorithm: send Elect 0 to 5
[2016-04-20 1:18:45:159 | 0 ] Algorithm: send Elect 0 to 6
[2016-04-20 1:18:45:159 | 0 ] Algorithm: send Elect 0 to 7
[2016-04-20 1:18:45:159 | 0 ] Internal: Received OKAY from 5
[2016-04-20 1:18:45:160 | 0 ] Internal: Waiting for response
[2016-04-20 1:18:45:160 | 0 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:45:160 | 0 ] Internal: Received OKAY from 6
[2016-04-20 1:18:45:161 | 0 ] Internal: Received OKAY from 7
[2016-04-20 1:18:45:162 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:45:174 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:45:178 | 0 ] Internal: Received Result from 7
[2016-04-20 1:18:45:184 | 0 ] Internal: Received Result from 7
