*********************[2016-04-20 12:13:44:869 | 6 ] Status: Start Running*********************
[2016-04-20 12:13:44:869 | 6 ] Error: Crash Error
*********************[2016-04-20 12:19:19:762 | 6 ] Status: Start Running*********************
[2016-04-20 12:19:19:763 | 6 ] Error: Crash Error
*********************[2016-04-20 12:28:15:416 | 6 ] Status: Start Running*********************
[2016-04-20 12:28:15:416 | 6 ] Error: Crash Error
*********************[2016-04-20 12:29:48:172 | 6 ] Status: Start Running*********************
[2016-04-20 12:29:48:173 | 6 ] Error: Crash Error
*********************[2016-04-20 12:30:06:789 | 6 ] Status: Start Running*********************
[2016-04-20 12:30:06:789 | 6 ] Error: Crash Error
*********************[2016-04-20 1:12:00:16 | 6 ] Status: Start Running*********************
[2016-04-20 1:12:00:18 | 6 ] Algorithm: send OKAY 6 to 2
[2016-04-20 1:12:00:18 | 6 ] Internal: Trigger an election
[2016-04-20 1:12:00:19 | 6 ] Algorithm: send Elect 6 to 7
[2016-04-20 1:12:00:19 | 6 ] Internal: Waiting for response
[2016-04-20 1:12:00:19 | 6 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:12:00:20 | 6 ] Algorithm: send OKAY 6 to 5
[2016-04-20 1:12:00:20 | 6 ] Internal: Trigger an election
[2016-04-20 1:12:00:20 | 6 ] Algorithm: send Elect 6 to 7
[2016-04-20 1:12:00:20 | 6 ] Internal: Waiting for response
[2016-04-20 1:12:00:20 | 6 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:12:00:21 | 6 ] Internal: Received Result from 7
[2016-04-20 1:12:00:26 | 6 ] Internal: Received Result from 7
[2016-04-20 1:12:00:27 | 6 ] Internal: Received OKAY from 7
[2016-04-20 1:12:00:29 | 6 ] Internal: Received Result from 7
[2016-04-20 1:12:00:30 | 6 ] Internal: Received OKAY from 7
[2016-04-20 1:12:00:32 | 6 ] Internal: Received Result from 7
*********************[2016-04-20 1:18:18:966 | 6 ] Status: Close Server*********************
*********************[2016-04-20 1:18:19:567 | 6 ] Status: Start Running*********************
[2016-04-20 1:18:19:568 | 6 ] Algorithm: send OKAY 6 to 2
[2016-04-20 1:18:19:568 | 6 ] Internal: Trigger an election
[2016-04-20 1:18:19:568 | 6 ] Algorithm: send Elect 6 to 7
[2016-04-20 1:18:19:569 | 6 ] Internal: Waiting for response
