*********************[2016-04-20 1:18:19:566 | 2 ] Status: Start Running*********************
[2016-04-20 1:18:37:124 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:127 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:253 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:258 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:302 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:37:698 | 2 ] Find leader (3) crash
[2016-04-20 1:18:37:698 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:37:698 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:37:698 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:37:699 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:37:699 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:37:699 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:37:699 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:37:700 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:37:700 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:37:701 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:37:701 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:37:702 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:705 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:708 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:712 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:37:725 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:38:406 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:38:406 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:39:301 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:39:607 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:39:609 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:39:611 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:40:209 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:40:537 | 2 ] Find leader (3) crash
[2016-04-20 1:18:40:537 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:40:537 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:40:537 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:40:538 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:40:538 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:40:538 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:40:539 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:40:539 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:40:539 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:40:539 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:40:539 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:40:541 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:40:543 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:40:546 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:40:548 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:40:959 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:40:963 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:07 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:41:245 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:41:246 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:41:265 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:41:449 | 2 ] Algorithm: send OKAY 2 to 0
[2016-04-20 1:18:41:449 | 2 ] Internal: Trigger an election
[2016-04-20 1:18:41:449 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:41:449 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:41:449 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:41:450 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:41:451 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:41:451 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:41:452 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:41:452 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:41:453 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:453 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:41:455 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:41:456 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:459 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:460 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:41:461 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:463 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:465 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:469 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:41:476 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:42:156 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:42:156 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:43:445 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:43:673 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:43:675 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:43:678 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:44:273 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:44:968 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:44:971 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:19 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:45:159 | 2 ] Algorithm: send OKAY 2 to 0
[2016-04-20 1:18:45:159 | 2 ] Internal: Trigger an election
[2016-04-20 1:18:45:159 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:45:159 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:45:159 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:45:159 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:45:159 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:45:160 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:45:161 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:45:161 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:45:163 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:171 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:45:174 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:45:175 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:179 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:184 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:45:185 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:188 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:189 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:191 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:192 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:45:863 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:45:863 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:46:245 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:46:247 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:46:249 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:46:847 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:47:158 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:47:948 | 2 ] Find leader (3) crash
[2016-04-20 1:18:47:948 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:47:948 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:47:949 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:47:949 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:47:949 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:47:950 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:47:950 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:47:950 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:47:950 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:47:950 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:47:951 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:47:952 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:47:955 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:47:956 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:47:959 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:48:657 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:48:657 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:48:682 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:48:907 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:48:909 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:48:955 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:49:828 | 2 ] Algorithm: send OKAY 2 to 0
[2016-04-20 1:18:49:829 | 2 ] Internal: Trigger an election
[2016-04-20 1:18:49:829 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:49:829 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:49:829 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:49:829 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:49:830 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:49:831 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:49:831 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:49:831 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:49:833 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:49:833 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:834 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:49:836 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:838 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:839 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:49:840 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:843 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:844 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:846 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:49:848 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:50:534 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:50:534 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:50:969 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:50:972 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:09 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:10 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:12 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:22 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:51:286 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:51:549 | 2 ] Find leader (3) crash
[2016-04-20 1:18:51:549 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:51:550 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:51:550 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:51:551 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:51:552 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:51:552 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:51:552 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:51:552 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:51:552 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:51:553 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:51:553 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:51:556 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:558 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:560 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:561 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:51:610 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:52:254 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:52:254 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:52:320 | 2 ] Algorithm: send OKAY 2 to 0
[2016-04-20 1:18:52:320 | 2 ] Internal: Trigger an election
[2016-04-20 1:18:52:320 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:52:320 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:52:320 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:52:320 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:52:320 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:52:321 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:52:321 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:52:321 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:52:323 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:52:323 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:324 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:52:325 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:52:326 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:328 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:330 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:331 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:334 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:336 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:52:340 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:53:23 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:53:23 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:53:463 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:53:812 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:53:814 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:53:816 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:54:410 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:54:929 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:55:191 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:55:193 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:55:242 | 2 ] Internal: Received Result from 3
*********************[2016-04-20 1:18:55:446 | 2 ] Status: Close Server*********************
[2016-04-20 1:18:56:74 | 2 ] Algorithm: send Elect 2 to 3
*********************[2016-04-20 1:18:56:76 | 2 ] Status: Start Running*********************
[2016-04-20 1:18:56:76 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:56:77 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:56:77 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:56:77 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:56:77 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:56:77 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:56:78 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:56:78 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:56:78 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:56:79 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:83 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:89 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:94 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:306 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:56:306 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:56:307 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:56:308 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:310 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:312 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:314 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:56:377 | 2 ] Internal: Received Result from 5
[2016-04-20 1:18:56:425 | 2 ] Internal: Received Result from 6
[2016-04-20 1:18:56:624 | 2 ] Internal: Received Result from 6
[2016-04-20 1:18:56:782 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:56:782 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:56:803 | 2 ] Timeout: Received Timeout OKAY from 4
