*********************[2016-04-20 1:18:19:566 | 2 ] Status: Start Running*********************
[2016-04-20 1:18:19:567 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:19:567 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:19:567 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:19:568 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:19:568 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:19:568 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:19:568 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:19:568 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:19:568 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:19:568 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:19:569 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:19:570 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:19:573 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:19:577 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:19:585 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:19:788 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:20:275 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:20:275 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:20:296 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:21:817 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:21:820 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:21:822 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:22:422 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:23:526 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:23:529 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:23:573 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:24:361 | 2 ] Find leader (3) crash
[2016-04-20 1:18:24:361 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:24:362 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:24:362 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:24:362 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:24:362 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:24:362 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:24:363 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:24:363 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:24:363 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:24:364 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:24:364 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:24:365 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:24:368 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:24:373 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:24:381 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:25:64 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:25:65 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:25:88 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:25:467 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:25:470 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:25:475 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:26:69 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:27:671 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:27:674 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:27:720 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:28:261 | 2 ] Algorithm: send OKAY 2 to 0
[2016-04-20 1:18:28:261 | 2 ] Internal: Trigger an election
[2016-04-20 1:18:28:261 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:28:262 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:28:262 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:28:262 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:28:263 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:28:263 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:28:264 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:28:264 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:28:265 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:28:265 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:265 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:28:268 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:28:283 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:285 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:288 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:293 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:297 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:299 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:302 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:629 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:631 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:634 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:28:966 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:28:966 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:29:228 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:29:849 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:30:559 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:30:562 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:30:609 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:31:959 | 2 ] Algorithm: send OKAY 2 to 0
[2016-04-20 1:18:31:959 | 2 ] Internal: Trigger an election
[2016-04-20 1:18:31:959 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:31:959 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:31:959 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:31:960 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:31:961 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:31:961 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:31:962 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:31:962 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:31:963 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:964 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:31:965 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:31:968 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:969 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:31:970 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:973 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:976 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:978 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:980 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:31:983 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:221 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:224 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:226 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:608 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:610 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:656 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:32:664 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:32:664 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:32:819 | 2 ] Internal: Received Result from 3
[2016-04-20 1:18:32:834 | 2 ] Find leader (3) crash
[2016-04-20 1:18:32:834 | 2 ] Algorithm: send Elect 2 to 3
[2016-04-20 1:18:32:834 | 2 ] Election Error: Crash Error 3
[2016-04-20 1:18:32:834 | 2 ] Algorithm: send Elect 2 to 4
[2016-04-20 1:18:32:835 | 2 ] Algorithm: send Elect 2 to 5
[2016-04-20 1:18:32:835 | 2 ] Algorithm: send Elect 2 to 6
[2016-04-20 1:18:32:835 | 2 ] Algorithm: send Elect 2 to 7
[2016-04-20 1:18:32:835 | 2 ] Internal: Received OKAY from 5
[2016-04-20 1:18:32:836 | 2 ] Internal: Waiting for response
[2016-04-20 1:18:32:836 | 2 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:32:836 | 2 ] Internal: Received OKAY from 6
[2016-04-20 1:18:32:837 | 2 ] Internal: Received OKAY from 7
[2016-04-20 1:18:32:839 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:843 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:846 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:32:848 | 2 ] Internal: Received Result from 7
[2016-04-20 1:18:33:417 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:33:540 | 2 ] Election Error: Fail to receive OKAY from 3 within timeout(700 ms)
[2016-04-20 1:18:33:540 | 2 ] Election Error: Fail to receive OKAY from 4 within timeout(700 ms)
[2016-04-20 1:18:35:600 | 2 ] Timeout: Received Timeout OKAY from 4
[2016-04-20 1:18:37:122 | 2 ] Internal: Received Result from 7
