*********************[2016-04-20 1:18:19:566 | 5 ] Status: Start Running*********************
[2016-04-20 1:18:19:568 | 5 ] Algorithm: send OKAY 5 to 2
[2016-04-20 1:18:19:568 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:19:568 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:19:569 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:19:569 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:19:569 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:19:570 | 5 ] Internal: Received OKAY from 6
[2016-04-20 1:18:19:571 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:19:573 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:19:575 | 5 ] Internal: Received OKAY from 7
[2016-04-20 1:18:19:579 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:19:589 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:21:814 | 5 ] SendOK Error: Crash Error 3
[2016-04-20 1:18:21:815 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:21:815 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:21:815 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:21:816 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:21:816 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:21:817 | 5 ] Internal: Received OKAY from 7
[2016-04-20 1:18:21:818 | 5 ] Internal: Received OKAY from 6
[2016-04-20 1:18:21:818 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:21:820 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:21:824 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:23:521 | 5 ] SendOK Error: Crash Error 3
[2016-04-20 1:18:23:521 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:23:521 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:23:521 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:23:522 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:23:522 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:23:523 | 5 ] Internal: Received OKAY from 6
[2016-04-20 1:18:23:524 | 5 ] Internal: Received OKAY from 7
[2016-04-20 1:18:23:527 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:23:530 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:24:363 | 5 ] Algorithm: send OKAY 5 to 2
[2016-04-20 1:18:24:363 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:24:363 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:24:363 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:24:364 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:24:364 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:24:365 | 5 ] Internal: Received OKAY from 6
[2016-04-20 1:18:24:366 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:24:367 | 5 ] Internal: Received OKAY from 7
[2016-04-20 1:18:24:369 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:24:374 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:24:384 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:25:462 | 5 ] SendOK Error: Crash Error 3
[2016-04-20 1:18:25:462 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:25:462 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:25:463 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:25:464 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:25:464 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:25:466 | 5 ] Internal: Received OKAY from 6
[2016-04-20 1:18:25:468 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:25:468 | 5 ] Internal: Received OKAY from 7
[2016-04-20 1:18:25:473 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:25:476 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:27:668 | 5 ] SendOK Error: Crash Error 3
[2016-04-20 1:18:27:669 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:27:669 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:27:669 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:27:669 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:27:669 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:27:670 | 5 ] Internal: Received OKAY from 6
[2016-04-20 1:18:27:670 | 5 ] Internal: Received OKAY from 7
[2016-04-20 1:18:27:672 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:27:674 | 5 ] Internal: Received Result from 7
[2016-04-20 1:18:28:263 | 5 ] Algorithm: send OKAY 5 to 0
[2016-04-20 1:18:28:263 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:28:263 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:28:264 | 5 ] Algorithm: send Elect 5 to 7
[2016-04-20 1:18:28:264 | 5 ] Internal: Waiting for response
[2016-04-20 1:18:28:264 | 5 ] Alogorithm: Wait for 700 ms
[2016-04-20 1:18:28:265 | 5 ] Algorithm: send OKAY 5 to 2
[2016-04-20 1:18:28:265 | 5 ] Internal: Trigger an election
[2016-04-20 1:18:28:265 | 5 ] Algorithm: send Elect 5 to 6
[2016-04-20 1:18:28:265 | 5 ] Algorithm: send Elect 5 to 7
