*********************[2016-04-20 1:18:19:565 | 1 ] Status: Start Running*********************
[2016-04-20 1:18:19:570 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:19:572 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:19:576 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:19:585 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:19:787 | 1 ] Internal: Received Result from 3
[2016-04-20 1:18:21:817 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:21:819 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:21:822 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:22:421 | 1 ] Internal: Received Result from 3
[2016-04-20 1:18:23:526 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:23:529 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:23:572 | 1 ] Internal: Received Result from 3
[2016-04-20 1:18:24:365 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:24:367 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:24:370 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:24:380 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:25:467 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:25:469 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:25:475 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:26:69 | 1 ] Internal: Received Result from 3
[2016-04-20 1:18:27:671 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:27:674 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:27:720 | 1 ] Internal: Received Result from 3
[2016-04-20 1:18:28:260 | 1 ] Internal: Received Elect from 0
[2016-04-20 1:18:28:261 | 1 ] Omission Error: Not Reply
[2016-04-20 1:18:28:265 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:28:283 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:28:285 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:28:288 | 1 ] Internal: Received Result from 7
[2016-04-20 1:18:28:293 | 1 ] Internal: Received Result from 7
